"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Mugen","942995255",11149500,12600000,1450500,13
"TCrow13","357536376",10843000,7200000,-3643000,-33.6
"Rat Perfected","774347379",9166000,9600000,434000,4.7
"keseko","684612469",8485500,5020000,-3465500,-40.8
"Rvdbandit","181679453",8400000,4500000,-3900000,-46.4
"Iamtaco","476455629",6464000,6750000,286000,4.4
"Creamed Corn","879692712",6229500,3600000,-2629500,-42.2
"Tulak","419389383",6207500,4605000,-1602500,-25.8
"ChiefLikeYouMeanIt","472325871",5987500,6600000,612500,10.2
"Smol Frog","357643478",4995500,6000000,1004500,20.1
"Indra","644773197",4769500,5400000,630500,13.2
"British Frog Man","475467821",4453000,5100000,647000,14.5
"Dezember13","111273117",4336000,4350000,14000,0.3
"EsiJones","741335453",4273000,4650000,377000,8.8
"Ecow","777411988",3268000,3055000,-213000,-6.5
"DanyX","159821172",2860000,2290000,-570000,-19.9
"Marc St","581829883",2692000,1835000,-857000,-31.8
"Rui Vuusen","636685239",2637000,2700000,63000,2.4
"Verio","768128275",2594000,2700000,106000,4.1
"Sheeeev","417883322",2566000,1790000,-776000,-30.2
"RoyCalyptus","557611448",2511500,2580000,68500,2.7
"Warsa Kelee","493744276",2457500,2410000,-47500,-1.9
"Magikoi","782454946",2263000,2250000,-13000,-0.6
"Ezekiel Rynock","235995537",2185000,2250000,65000,3
"Margo Ren","647494388",2122500,2850000,727500,34.3
"Luchtloper","518116985",1966500,2700000,733500,37.3
"DarthZora","372597724",1942500,2550000,607500,31.3
"Rilan29","737568893",1923000,2050000,127000,6.6
"Elias Dundy","695697618",1821000,2550000,729000,40
"ahunn","872169159",1788000,1950000,162000,9.1
"Tali","728641823",1654000,2550000,896000,54.2
"Mur Xtasee","614947631",1631000,1787500,156500,9.6
"Ash Cole","324154933",1629500,1885000,255500,15.7
"Skyspuds","764315256",1479500,1950000,470500,31.8
"Sikufake","384411919",1433500,1500000,66500,4.6
"Speedweed","738292581",1380000,1650000,270000,19.6
"TinyPaly","345935274",1277500,1800000,522500,40.9
"Narvil Base","347621924",1214500,1800000,585500,48.2
"EwokPaperScissors","326117835",1192000,300000,-892000,-74.8
"Fennec Fox","969924411",1169500,1650000,480500,41.1
"Hammy","461531766",1122000,1522500,400500,35.7
"Xentris","679532973",1122000,1350000,228000,20.3
"Skeletor","241758568",1115000,2100000,985000,88.3
"Sadiush","869346951",1011000,1860000,849000,84
"Soupy","232947293",985000,900000,-85000,-8.6
"Jetfire","828364146",967500,420000,-547500,-56.6
"Poptheup","266891749",942500,1050000,107500,11.4
